csd_id,name,smiles1,smiles2,year,functionality,group
LOHNOM,bis(6-Bromo-2-naphthol) piperazine,C1=CC2=C(C=CC(=C2)Br)C=C1O,C1CNCCN1,2008,h-bond,2
LOMHUR,"4,4'-Bipyridine 4-(sulfonylglycine)benzoic acid",C1=CC(=CC=C1C(=O)O)S(=O)(=O)NCC(=O)O,C1=CN=CC=C1C2=CC=NC=C2,2008,h-bond,2
LOMLOP,"1,2-bis(4-Pyridyl)ethylene 2-bromo-1,4-benzenedicarboxylic acid",C1=CC(=C(C=C1C(=O)O)Br)C(=O)O,C1=CN=CC=C1/C=C/C2=CC=NC=C2,2008,h-bond,2
MIZMUE,Benzimidazole malonic acid,C1=CC=C2C(=C1)NC=N2,C(C(=O)O)C(=O)O,2008,h-bond,2
MODPAX,"rac-7-Oxabicyclo(2.2.1)heptane-2,3-dicarboxylic acid 2-aminobenzothiazole",C1C[C@H]2[C@@H]([C@@H]([C@@H]1O2)C(=O)O)C(=O)O,C1=CC=C2C(=C1)N=C(S2)N,2008,h-bond,2
MOFXUB,"2,2'-Dihydroxy-1,1'-binaphthyl 1,10-phenanthroline-5,6-dione",C1=CC=C2C(=C1)C=CC(=C2C3=C(C=CC4=CC=CC=C43)O)O,C1=CC2=C(C3=C(C=CC=N3)C(=O)C2=O)N=C1,2008,h-bond,2
MOFYAI,"2,2'-Dihydroxy-1,1'-binaphthyl bis(acridine)",C1=CC=C2C(=C1)C=CC(=C2C3=C(C=CC4=CC=CC=C43)O)O,C1=CC=C2C(=C1)C=C3C=CC=CC3=N2,2008,h-bond,2
MOQGIJ,"4-Chloro-N-((4-chlorophenyl)sulfonyl)benzenesulfonamide 1,1,3,3-tetramethylurea",C1=CC(=CC=C1S(=O)(=O)NS(=O)(=O)C2=CC=C(C=C2)Cl)Cl,CN(C)C(=O)N(C)C,2008,h-bond,2
MOQGOP,"4-Bromo-N-((4-bromophenyl)sulfonyl)benzenesulfonamide 1,1,3,3-tetramethylurea",C1=CC(=CC=C1S(=O)(=O)NS(=O)(=O)C2=CC=C(C=C2)Br)Br,CN(C)C(=O)N(C)C,2008,h-bond,2
MOQGUV,"4-Iodo-N-((4-iodophenyl)sulfonyl)benzenesulfonamide 1,1,3,3-tetramethylurea",C1=CC(=CC=C1S(=O)(=O)NS(=O)(=O)C2=CC=C(C=C2)I)I,CN(C)C(=O)N(C)C,2008,h-bond,2
